neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,max_income
1,14,40.73778,-73.99616,0,12,4,0.79,4,29,2871
1,4,40.79142,-73.94664,0,2,110,4.04,4,237,21330
0,12,40.71906,-73.94394,1,"0    1
Name: minimum_nights, dtype: int64",10,0.32,8,97,7760
1,30,40.8459,-73.94219,0,1,1,0.04,1,1,60
1,2,40.81249,-73.94175,0,4,0,0.0,2,365,32850
0,24,40.65926,-73.96252,0,3,14,0.98,1,364,36400
2,49,40.77172,-73.91769,1,1,0,0.0,1,1,200
0,15,40.67478,-73.94418,0,2,25,2.05,1,1,45
1,2,40.82443,-73.95175,0,1,0,0.0,1,1,60
1,30,40.85181,-73.93824,0,7,0,0.0,1,1,29
0,6,40.68847,-73.93897,0,2,1,0.57,2,54,4590
0,12,40.70706,-73.95071,1,4,68,1.06,1,5,655
1,7,40.76115,-73.99823,1,"0    1
Name: minimum_nights, dtype: int64",0,0.0,18,146,72854
0,20,40.72558,-73.95706,0,1,55,3.72,7,38,2584
0,6,40.68437,-73.93518,0,6,2,0.15,1,1,45
0,6,40.69341,-73.94789,1,1,4,0.17,1,1,120
1,7,40.76587,-73.98527,0,1,0,0.0,1,1,90
0,32,40.69183,-73.99592,1,1,107,2.84,1,75,11250
1,28,40.76911,-73.95738,1,"0    1
Name: minimum_nights, dtype: int64",0,0.0,87,365,73000
1,14,40.744,-73.99721,0,3,12,1.43,2,30,1950
4,128,40.8289,-73.86219,1,1,54,5.61,1,326,28362
1,23,40.71849,-73.98334,1,5,2,0.05,1,1,140
0,20,40.72575,-73.95231,1,"0    1
Name: minimum_nights, dtype: int64",13,0.19,1,363,144837
1,19,40.72269,-73.98428,0,5,0,0.0,1,1,50
1,26,40.73953,-73.98009,1,"0    1
Name: minimum_nights, dtype: int64",5,0.08,1,2,370
2,44,40.7078,-73.90177,0,"0    1
Name: minimum_nights, dtype: int64",38,0.76,2,245,12250
1,2,40.81297,-73.93922,1,3,0,0.0,1,1,125
2,56,40.76807,-73.91341,0,1,0,0.0,3,1,110
1,26,40.73833,-73.98186,1,"0    1
Name: minimum_nights, dtype: int64",139,1.59,4,325,63375
2,81,40.74035,-73.87617,0,"0    1
Name: minimum_nights, dtype: int64",1,1.0,7,6,174
1,7,40.76332,-73.9863,1,2,0,0.0,1,1,275
1,26,40.74044,-73.98029,1,"0    1
Name: minimum_nights, dtype: int64",3,0.14,91,312,49608
1,8,40.78313,-73.97555,0,3,2,0.1,2,1,58
2,83,40.74879,-73.88342,0,1,24,1.43,1,5,295
0,20,40.72185,-73.93956,0,4,86,0.89,3,350,16100
0,12,40.71751,-73.94474,0,1,0,0.0,1,1,80
0,6,40.68879,-73.9534,0,2,2,0.3,1,89,10680
0,21,40.70105,-73.92183,0,4,5,0.42,1,1,40
1,11,40.72953,-74.00462,1,7,11,0.12,1,1,145
0,12,40.71078,-73.96161,0,4,33,1.49,2,1,70
0,20,40.72515,-73.95153,0,1,0,0.0,1,365,72635
2,25,40.7505,-73.94381,1,1,29,4.86,1,148,29600
2,94,40.70742,-73.81345,1,1,11,1.42,1,40,2200
0,29,40.67946,-73.96494,1,2,7,0.19,1,1,125
1,27,40.72268,-74.00269,1,2,24,0.51,1,23,14950
1,19,40.72837,-73.98631,1,1,110,2.47,1,134,50250
1,4,40.80194,-73.94397,0,3,17,1.27,1,77,5313
0,20,40.72424,-73.95303,1,1,1,0.02,1,1,125
1,52,40.72883,-74.00145,0,1,43,2.04,1,145,18850
1,14,40.73933,-73.99879,1,3,2,0.06,1,1,229
0,12,40.7146,-73.96321,0,1,1,0.03,5,1,90
2,56,40.76137,-73.90582,1,4,0,0.0,2,89,40050
0,21,40.69102,-73.90525,2,"0    1
Name: minimum_nights, dtype: int64",0,0.0,6,365,14600
0,6,40.69981,-73.94111,0,1,63,1.78,2,18,522
0,32,40.69016,-73.99311,1,2,13,0.52,1,1,149
0,34,40.6812,-73.98186,0,3,2,0.15,1,1,85
1,23,40.7219,-73.98717,0,2,100,3.34,1,145,25230
0,15,40.67564,-73.95449,0,4,4,0.18,1,1,45
1,8,40.78054,-73.97779,1,2,7,0.18,1,1,85
1,14,40.75091,-73.99414,2,1,0,0.0,1,1,200
0,12,40.71332,-73.94071,0,1,0,0.0,1,1,80
0,24,40.66289,-73.96175,1,2,125,2.79,2,229,28625
1,9,40.7148,-73.99248,1,5,16,0.35,1,1,175
1,4,40.81213,-73.93752,1,3,16,4.07,1,1,95
2,56,40.75713,-73.91334,0,3,1,0.05,2,328,32472
1,8,40.78269,-73.9839,1,7,0,0.0,1,1,800
1,45,40.8043,-73.96342,0,1,37,4.72,3,10,750
0,12,40.7153,-73.93906,1,3,0,0.0,1,1,92
0,12,40.71233,-73.94806,1,1,6,0.16,1,1,200
1,19,40.72677,-73.9911,1,4,6,0.4,4,121,60500
1,2,40.82349,-73.94193,0,3,3,0.05,2,178,14240
0,13,40.69546,-73.97303,0,4,0,0.0,1,1,65
0,12,40.70749,-73.93916,1,2,2,0.06,1,1,150
1,4,40.80078,-73.94335,2,1,5,2.31,7,90,5400
0,12,40.71529,-73.93972,0,2,4,0.15,2,341,73315
0,100,40.63881,-73.91751,0,3,41,0.7,3,278,11120
0,22,40.638,-73.96742,1,7,0,0.0,1,1,75
1,19,40.72354,-73.98295,1,3,30,0.28,1,248,48360
0,6,40.68542,-73.93965,0,4,0,0.0,1,1,60
1,1,40.76218,-73.98002,1,2,0,0.0,3,2,760
1,43,40.70701,-74.01007,1,"0    1
Name: minimum_nights, dtype: int64",0,0.0,1,311,54425
0,117,40.61609,-73.95893,0,1,2,0.11,1,1,35
2,56,40.76889,-73.92957,1,2,4,0.92,1,14,1750
0,21,40.70548,-73.91776,0,1,15,0.33,1,359,35900
0,16,40.67923,-73.97659,1,2,8,0.2,1,1,125
1,2,40.82796,-73.9505,0,1,0,0.0,1,1,100
0,6,40.68633,-73.92728,1,3,15,2.13,1,77,11550
1,7,40.76043,-73.99132,1,"0    1
Name: minimum_nights, dtype: int64",0,0.0,3,180,738000
0,12,40.71711,-73.94804,0,3,0,0.0,1,351,28080
0,15,40.67335,-73.95391,0,15,21,1.44,4,67,2479
0,6,40.69108,-73.94492,1,5,1,0.05,1,1,80
2,56,40.75637,-73.92132,1,2,1,0.04,1,1,160
0,21,40.69835,-73.93258,0,2,3,0.75,1,188,6204
1,19,40.72546,-73.98396,1,1,20,2.65,1,268,47972
1,2,40.83026,-73.94455,0,2,1,1.0,3,71,4260
0,54,40.65381,-73.94893,0,3,19,2.38,2,12,564
1,30,40.85747,-73.93439,1,"0    1
Name: minimum_nights, dtype: int64",0,0.0,1,8,800
0,6,40.68243,-73.95167,0,1,75,1.04,15,285,15675
1,71,40.75732,-73.98276,1,3,177,4.16,1,216,39960
0,21,40.68258,-73.90472,1,1,157,2.64,1,235,28670
1,2,40.80372,-73.95266,0,2,33,2.75,1,2,164
0,16,40.66801,-73.98142,0,7,0,0.0,1,1,85
2,56,40.76623,-73.91243,0,1,9,3.42,1,35,2415
0,76,40.60391,-73.99339,0,2,7,0.23,1,1,80
1,28,40.78122,-73.94989,1,2,1,0.03,1,1,129
0,20,40.73473,-73.95229,0,"0    1
Name: minimum_nights, dtype: int64",1,0.15,1,1,54
1,14,40.7435,-74.00119,0,2,128,4.52,1,252,72828
1,28,40.76236,-73.96482,0,3,7,2.47,1,81,12960
1,2,40.82156,-73.94966,1,2,82,5.68,2,266,65702
2,56,40.771,-73.92563,0,"0    1
Name: minimum_nights, dtype: int64",8,0.14,18,358,13604
0,3,40.68284,-73.96677,1,7,3,0.13,1,189,24570
1,14,40.7444,-73.99604,1,2,8,0.71,1,1,240
2,106,40.59549,-73.78857,1,1,0,0.0,1,81,9720
0,24,40.65877,-73.9447,1,2,1,1.0,1,25,3750
2,83,40.75129,-73.88784,1,5,8,0.17,1,1,135
