neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,max_income
1,64,40.72196,-73.99664,0,6,47,2.54,1,40,4800
1,7,40.76802,-73.9906,0,2,5,0.71,1,78,10140
1,28,40.77928,-73.94862,1,2,6,0.17,1,1,140
1,19,40.72669,-73.98419,1,2,179,2.99,1,179,23091
2,56,40.77411,-73.92731,0,5,47,1.76,1,5,265
0,54,40.6509,-73.95108,1,3,0,0.0,2,324,64800
0,24,40.65787,-73.95927,0,1,15,1.62,1,1,60
1,43,40.70491,-74.00978,1,"0    1
Name: minimum_nights, dtype: int64",0,0.0,232,331,89701
0,6,40.68613,-73.9295,0,1,1,0.39,6,356,35600
0,34,40.68444,-73.98847,0,2,1,0.02,2,1,62
2,56,40.76677,-73.91169,2,5,0,0.0,3,83,4565
0,6,40.68302,-73.94232,1,5,25,0.53,2,347,31230
1,23,40.72133,-73.9877,0,1,5,0.12,1,1,140
0,100,40.64432,-73.90556,1,5,6,0.44,3,90,11250
0,12,40.7194,-73.96346,1,"0    1
Name: minimum_nights, dtype: int64",0,0.0,1,54,8640
1,4,40.79686,-73.9459,1,2,5,0.12,2,177,35223
1,8,40.77593,-73.97699,1,4,22,0.27,1,239,21510
0,20,40.73237,-73.95952,0,10,2,0.09,2,1,61
0,21,40.69439,-73.90715,0,"0    1
Name: minimum_nights, dtype: int64",7,0.74,6,92,4140
1,28,40.76854,-73.95532,0,1,49,1.11,1,230,45770
1,23,40.71273,-73.9882,0,3,56,0.96,2,304,21888
0,6,40.6843,-73.91985,1,3,47,4.88,2,23,2047
2,129,40.69567,-73.84949,0,2,7,2.0,1,174,8700
1,68,40.73712,-73.98844,0,1,2,2.0,1,179,43855
1,2,40.80629,-73.95001,1,6,0,0.0,1,18,3996
1,30,40.84749,-73.9391,0,6,0,0.0,1,1,40
0,100,40.6344,-73.8948,1,3,23,0.6,3,363,64251
1,8,40.77647,-73.98211,1,1,0,0.0,1,1,175
1,8,40.78343,-73.9823,1,2,5,0.49,1,5,1325
0,6,40.68964,-73.94884,0,3,0,0.0,1,1,39
1,11,40.73153,-74.00469,1,2,4,0.59,1,12,1848
2,81,40.73421,-73.87387,1,2,30,2.97,2,51,11730
0,16,40.67379,-73.98454,1,3,135,1.45,1,204,28356
0,6,40.69378,-73.93932,1,3,0,0.0,2,316,63200
1,2,40.82364,-73.94472,1,2,19,2.35,1,37,4625
0,67,40.58985,-73.98482,0,2,25,1.34,1,1,55
0,33,40.67823,-73.99515,1,4,33,0.65,1,158,62410
0,33,40.68333,-73.99802,1,3,1,0.05,1,1,800
2,44,40.70899,-73.89494,0,"0    1
Name: minimum_nights, dtype: int64",2,0.86,23,225,9450
2,25,40.74493,-73.9537,1,1,1,0.03,1,1,158
0,20,40.72483,-73.9437,2,1,32,1.6,5,346,13148
0,34,40.68251,-73.98486,1,2,57,0.67,1,25,6250
1,7,40.76645,-73.98539,1,4,15,0.41,1,5,750
1,132,40.73159,-73.97472,0,14,0,0.0,1,128,9216
0,15,40.6806,-73.96317,1,2,160,1.95,1,255,49725
4,80,40.82575,-73.92421,1,1,0,0.0,1,1,175
2,107,40.69159,-73.73658,0,2,27,2.34,2,79,5135
1,11,40.73458,-74.00361,1,3,11,6.73,1,318,159000
4,141,40.87066,-73.88227,0,2,0,0.0,1,53,2968
1,28,40.76906,-73.9517,1,5,6,0.1,1,1,240
0,12,40.71358,-73.95634,0,4,2,0.1,3,1,94
1,50,40.74096,-73.9927,1,1,0,0.0,1,1,1200
0,6,40.68402,-73.95573,1,3,101,2.08,2,293,35746
0,6,40.68511,-73.95452,0,3,5,0.15,1,83,7470
1,2,40.80025,-73.95268,0,2,3,0.23,1,1,85
2,44,40.71194,-73.91414,1,3,9,1.19,1,273,54600
1,51,40.76176,-73.94999,2,4,1,0.06,1,1,30
0,6,40.68432,-73.9425,1,3,34,0.54,5,308,46508
0,12,40.70721,-73.95341,1,2,17,0.59,1,3,480
0,12,40.71433,-73.94026,1,2,5,0.23,2,1,115
1,8,40.799,-73.97012,0,2,0,0.0,1,71,9230
1,19,40.72178,-73.98212,1,2,11,0.24,1,1,250
2,103,40.75984,-73.88228,0,1,17,6.46,4,208,6864
1,2,40.82415,-73.94113,0,2,0,0.0,1,364,36400
0,21,40.68875,-73.916,1,3,20,3.14,2,258,41022
1,8,40.78175,-73.97576,1,1,1,0.03,1,1,180
1,2,40.81664,-73.94267,0,1,11,1.26,2,177,26550
1,8,40.76877,-73.9846,1,"0    1
Name: minimum_nights, dtype: int64",3,0.1,52,275,23925
1,11,40.73357,-74.00723,1,2,269,3.15,2,167,29058
1,30,40.84358,-73.94051,0,4,0,0.0,3,90,13950
1,30,40.84504,-73.93658,1,"0    1
Name: minimum_nights, dtype: int64",1,0.03,1,1,85
4,72,40.82706,-73.91779,0,1,0,0.0,1,88,7040
0,12,40.70657,-73.94234,0,1,2,0.21,2,1,75
1,8,40.77902,-73.98709,1,10,13,1.38,1,7,945
0,12,40.70764,-73.94231,0,1,1,0.02,3,1,41
1,68,40.73247,-73.98297,1,2,47,2.26,1,6,1176
