neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,6,40.68688,-73.95596,0,60,45,49,0.4,1,1
1,11,40.7353,-74.00525,1,120,90,27,0.22,1,1
0,6,40.68876,-73.94312,0,35,60,0,0.0,1,365
0,24,40.65944,-73.96238,1,150,29,11,0.49,1,95
0,12,40.70881,-73.9593,1,150,30,105,0.9,1,30
1,27,40.7221,-73.99775,1,180,30,21,0.3,1,154
1,14,40.74623,-73.9953,1,375,180,5,0.12,1,180
0,29,40.67811,-73.96428,1,200,30,143,1.33,2,297
1,7,40.75979,-73.99119,0,52,30,191,1.65,1,191
2,31,40.75038,-73.90334,0,70,30,25,0.22,1,324
1,2,40.82915,-73.95136,1,110,31,54,0.49,1,209
1,23,40.7114,-73.98794,0,94,30,94,0.84,1,188
1,14,40.74008,-74.00271,0,98,30,30,0.27,2,364
0,16,40.66941,-73.98109,1,220,30,88,0.79,1,9
0,6,40.68373,-73.92377,1,125,90,162,1.46,2,137
0,12,40.71459,-73.94844,1,80,30,29,0.4,1,222
0,34,40.68157,-73.98989,1,200,30,19,0.2,1,208
0,10,40.66853,-73.98912,1,120,30,467,4.22,2,192
1,11,40.73442,-74.00303,1,115,29,26,0.25,1,12
0,20,40.73409,-73.95348,1,250,29,3,0.03,1,34
1,11,40.73226,-74.00401,1,225,45,134,1.24,1,312
2,39,40.74559,-73.92313,0,79,30,28,0.26,1,126
1,11,40.73423,-74.0046,1,150,26,38,0.36,1,225
0,6,40.68237,-73.9415,1,175,26,30,0.29,1,364
2,47,40.71722,-73.87856,1,98,30,33,0.31,5,240
1,2,40.80234,-73.95603,0,200,30,0,0.0,1,365
1,1,40.7589,-73.96991,1,250,30,82,0.78,1,1
1,4,40.79163,-73.94573,1,125,28,183,1.83,2,365
1,1,40.75749,-73.96897,1,110,200,92,0.9,1,140
1,19,40.7268,-73.99079,1,130,50,56,0.58,1,56
0,12,40.7069,-73.95467,0,60,17,14,0.14,4,362
0,15,40.6715,-73.94808,0,49,21,15,0.15,5,331
1,4,40.79603,-73.94903,1,124,28,22,0.26,1,103
0,12,40.71492,-73.96282,1,135,30,56,0.56,1,42
1,2,40.82976,-73.94867,0,85,30,64,0.68,1,318
1,8,40.78,-73.98249,1,150,30,48,0.55,1,35
1,9,40.71659,-73.98945,1,125,25,43,0.42,1,102
1,11,40.72966,-74.00243,1,200,30,39,0.44,1,251
4,59,40.87207,-73.90193,1,90,30,4,0.35,2,346
0,16,40.67542,-73.98142,1,165,30,34,0.51,2,189
0,13,40.68819,-73.97258,1,130,35,5,0.05,1,135
0,12,40.7205,-73.96015,1,199,30,8,0.11,1,30
0,15,40.67473,-73.94494,1,100,90,0,0.0,1,365
1,14,40.74893,-73.99544,1,130,30,19,0.19,1,189
0,13,40.68795,-73.97332,1,123,30,15,0.15,1,189
1,8,40.78558,-73.9696,1,212,21,45,0.46,1,35
2,62,40.58615,-73.81245,0,70,27,13,0.13,1,335
0,15,40.67086,-73.94872,1,100,30,15,0.16,5,282
1,1,40.74503,-73.98876,1,169,18,54,0.57,1,98
0,32,40.69263,-73.99438,1,150,30,95,0.96,1,281
0,34,40.66862,-73.9926,1,260,30,3,0.03,1,316
0,15,40.67456,-73.95151,1,64,20,70,0.73,1,3
2,39,40.7385,-73.91806,0,42,40,53,0.55,3,236
0,12,40.71624,-73.96272,1,255,45,39,0.5,1,89
0,6,40.68101,-73.94081,1,72,31,88,0.91,1,164
2,39,40.74102,-73.91681,0,42,40,41,0.43,3,246
2,39,40.74,-73.91901,0,33,44,31,0.32,3,161
1,8,40.80006,-73.96049,1,250,31,188,1.94,1,259
0,10,40.66085,-73.98537,1,105,28,101,1.06,1,167
1,8,40.78569,-73.97581,1,175,65,11,0.12,1,358
1,8,40.7735,-73.98697,1,2000,30,30,0.33,11,1
2,56,40.75744,-73.92163,1,107,30,21,0.22,8,200
2,56,40.75695,-73.9202,1,95,30,24,0.26,8,271
1,11,40.73712,-74.00166,0,100,30,5,0.07,1,359
1,7,40.7709,-73.99181,0,150,28,43,0.45,2,258
0,12,40.71943,-73.95958,0,65,30,52,0.54,1,276
1,19,40.73089,-73.98195,1,160,30,25,0.26,1,46
2,39,40.73826,-73.92458,0,50,28,258,2.9,1,287
1,11,40.73854,-74.00821,0,80,90,9,0.2,1,338
1,23,40.71712,-73.98898,0,200,30,25,0.49,1,1
2,25,40.75627,-73.9211,1,95,30,24,0.25,8,358
0,75,40.61927,-74.0307,1,100,30,7,0.08,1,241
0,20,40.72595,-73.95298,1,116,29,22,0.23,1,335
1,2,40.80307,-73.95048,0,300,55,6,0.08,2,83
1,9,40.71611,-73.99828,0,110,30,59,0.64,1,281
1,4,40.79239,-73.94535,1,135,28,115,1.21,2,341
1,7,40.76166,-73.99675,1,179,30,83,0.88,1,292
2,25,40.74581,-73.95295,0,75,30,65,0.74,3,219
1,11,40.74,-74.00381,0,130,30,80,0.86,2,332
